Persistent Link,State,Title,LCCN,OCLC,ISSN,No. of Issues,First Issue Date,Last Issue Date,More Info
https://chroniclingamerica.loc.gov/lccn/2012218729/issues/,South Carolina,The weekly herald. (Newberry Court House [S.C.]) 1865-1865,2012218729,798943350.0,2333-1860,5.0,"June 7, 1865","July 5, 1865",https://chroniclingamerica.loc.gov/lccn/2012218729/essays/
https://chroniclingamerica.loc.gov/lccn/sn93067983/issues/,South Carolina," The weekly journal. [volume] (Camden, S.C.) 1865-1865 ",sn93067983,30786905.0,2379-6308,7.0,"July 7, 1865"," Sept. 1, 1865 ",https://chroniclingamerica.loc.gov/lccn/sn93067983/essays/
https://chroniclingamerica.loc.gov/lccn/sn84026918/issues/,South Carolina," The weekly Union times. [volume] (Union C.H., South Carolina) 1871-1894 ",sn84026918,10744641.0,2471-0644,872.0,"June 13, 1873","Aug. 31, 1894",https://chroniclingamerica.loc.gov/lccn/sn84026918/essays/
https://chroniclingamerica.loc.gov/lccn/sn84026925/issues/,South Carolina," Yorkville enquirer. [volume] (Yorkville, S.C.) 1855-2006 ",sn84026925,10749176.0,2379-6332,4531.0,"April 5, 1855","Dec. 29, 1922",https://chroniclingamerica.loc.gov/lccn/sn84026925/essays/
,,,,,,,,,
https://chroniclingamerica.loc.gov/lccn/sn98069055/issues/,South Dakota," The Aberdeen Democrat. (Aberdeen, South Dakota) 1???-1909 ",sn98069055,39497144.0,2475-2940,424.0,"Oct. 24, 1902","April 9, 1909",https://chroniclingamerica.loc.gov/lccn/sn98069055/essays/
https://chroniclingamerica.loc.gov/lccn/sn00065153/issues/,South Dakota," The advance. (Milbank, Grant County, S.D.) 188?-1890 ",sn00065153,43593619.0,2577-3380,3.0,"March 21, 1890","April 4, 1890",https://chroniclingamerica.loc.gov/lccn/sn00065153/essays/
https://chroniclingamerica.loc.gov/lccn/sn95076628/issues/,South Dakota," The Bad River news. [volume] (Philip, Stanley County, S.D.) 19??-1912 ",sn95076628,33989825.0,2688-9463,287.0,"Nov. 15, 1906","June 27, 1912",https://chroniclingamerica.loc.gov/lccn/sn95076628/essays/
https://chroniclingamerica.loc.gov/lccn/sn97065835/issues/,South Dakota," The Black Hills union and western stock review. [volume] (Rapid City, S.D.) 1904-19?? ",sn97065835,37585185.0,2475-1774,398.0,"Feb. 26, 1904","June 30, 1911",https://chroniclingamerica.loc.gov/lccn/sn97065835/essays/
https://chroniclingamerica.loc.gov/lccn/sn97065832/issues/,South Dakota," The Black Hills union. [volume] (Rapid City, Pennington County, Dakota [S.D.]) 1889-1904 ",sn97065832,37572181.0,2475-1758,540.0,"Aug. 2, 1889","Feb. 12, 1904",https://chroniclingamerica.loc.gov/lccn/sn97065832/essays/
https://chroniclingamerica.loc.gov/lccn/sn99062017/issues/,South Dakota," The Bon Homme County independent. [volume] (Tabor, S.D.) 1904-1913 ",sn99062017,42200738.0,,432.0,"Oct. 6, 1904","Jan. 30, 1913",https://chroniclingamerica.loc.gov/lccn/sn99062017/essays/
https://chroniclingamerica.loc.gov/lccn/sn2001063542/issues/,South Dakota," Brookings County sentinel. (Brookings, Dakota [S.D.]) 1882-1890 ",sn2001063542,47466950.0,,184.0,"March 30, 1882","Dec. 26, 1890",https://chroniclingamerica.loc.gov/lccn/sn2001063542/essays/
https://chroniclingamerica.loc.gov/lccn/sn2001063544/issues/,South Dakota," Brookings register. (Brookings, S.D.) 1890-1894 ",sn2001063544,47485466.0,,228.0,"June 13, 1890","Oct. 19, 1894",https://chroniclingamerica.loc.gov/lccn/sn2001063544/essays/
https://chroniclingamerica.loc.gov/lccn/sn85042792/issues/,South Dakota," The Brookings register. [volume] (Brookings, Brookings County, S.D.) 1903-1971 ",sn85042792,12862643.0,,1010.0," Sept. 10, 1903 ","Feb. 8, 1923",https://chroniclingamerica.loc.gov/lccn/sn85042792/essays/
https://chroniclingamerica.loc.gov/lccn/sn2001063546/issues/,South Dakota," Brookings weekly register. (Brookings, Brookings County, S.D.) 1898-1903 ",sn2001063546,47483203.0,,265.0,"Dec. 15, 1898"," Sept. 3, 1903 ",https://chroniclingamerica.loc.gov/lccn/sn2001063546/essays/
https://chroniclingamerica.loc.gov/lccn/sn83025440/issues/,South Dakota," The Canton advocate. [volume] (Canton, D.T. [S.D.]) 1877-1897 ",sn83025440,9463261.0,2376-3736,443.0,"May 23, 1877","April 5, 1888",https://chroniclingamerica.loc.gov/lccn/sn83025440/essays/
https://chroniclingamerica.loc.gov/lccn/2013271052/issues/,South Dakota," Canton daily leader. [volume] (Canton, South Dakota) 1896-1896 ",2013271052,857816119.0,2376-3779,2.0,"Oct. 31, 1896","Nov. 2, 1896",https://chroniclingamerica.loc.gov/lccn/2013271052/essays/
https://chroniclingamerica.loc.gov/lccn/sn99067984/issues/,South Dakota," The Charles Mix new era. (Wagner, Charles Mix County, S.D.) 1???-1911 ",sn99067984,41681868.0,2689-1131,302.0,"March 3, 1905","Feb. 24, 1911",https://chroniclingamerica.loc.gov/lccn/sn99067984/essays/
https://chroniclingamerica.loc.gov/lccn/sn99062010/issues/,South Dakota," The citizen-Republican. (Scotland, Bon Homme County, S.D.) 1???-19?? ",sn99062010,42201755.0,2475-3351,926.0,"Oct. 8, 1903","June 30, 1921",https://chroniclingamerica.loc.gov/lccn/sn99062010/essays/
https://chroniclingamerica.loc.gov/lccn/sn97065762/issues/,South Dakota," Custer chronicle. [volume] (Custer City, Black Hills, D.T. [S.D.]) 1880-1890 ",sn97065762,36687656.0,,487.0," Sept. 11, 1880 ","Jan. 25, 1890",https://chroniclingamerica.loc.gov/lccn/sn97065762/essays/
