Text,Sentiment
"In addition to the Frigidaire Ice Cream
Cabinet there are Frigidaire models for homes, stores, restau
rants, clubs, hotels, schools and hospitals. |JL -
You can buy Frigidaire in a complete cabinet
model for your own home for as little as $245. The
Frigidaire mechanism for converting your present 0
ice box into a Frigidaire electric refrigerator can be JSSJi 0
bought for as low as $l9O. (All prices f.o.b. Dayton.) =-J
Frigidaire",1
"and attorneys for the defendants, it
appeared- likely that the sentencing
would continue throughout the day
and part of tomorrow. Each defend
ant, after being sentenced, was re
leased on the original bond under
which he was at liberty after pleading
guilty.
Superior police officers were dealt
with more summarily than the other
policemen. Lieut. Aubrey Houston
drew one of the peak sentences, 18
months and a $2,000 fine.
PRINCE OF SIAM HERE;",-1
"Conferees representing highway
commissions of a score of States
3 cached an agreement yesterday at
the closing session of a meeting of
the Joint Board of State and Federal
Highways to create a group of inter
state roads to be'known as ""United
Ktates highways” which will be desig
nated with uniform markers.
Final decision on the selection of
highways and the style of signs will
be reached August 3, when the board
is to meet in Washington again after
n series of regional meetings through
©Jt the country to receive the recom
mendations of State highway officials.",0
"s for young ladies of 4to 14 years to wear in the \ \
imer time. Made of fine nainsook and batiste, and i x
red at a most extraordinarily low price. You will Ij ' \ ITj
ivell to stock up now and save! jr \,
Nightgowns, Princess Slips
Combinations and Pajamas Xffil
lilored models with straight bodice top,‘ trim- L *W I*l ’///> M
with lace or embroidery, and ribbon run \ X V>_, J < H
ugh. The pajamas are in pink and blue, trim- Ifo"" — f\-n II
with mercerized silk frogs. All' other gar- if 7yf[ \ / { |l
ts are in flesh and white only. \ | /It ( ‘ ' j jj
Katin's —Second Floor. I
These Specials for Babies & m T T , Ij
„ , 1 „ Thursday Is the Ij",0
"1 edges. Each. —Seconds of Red Star WUnZOCtI i
iby Dresses, of Philip- Diapers. Hemmed. Size Salem Cord lire M
lery. Each... *l.OO -££ . s . p ' o .“'-. * $1.95 Initial Payment ||| fl
Kann’s—Second Floor. $3 Down j! E
Buy Baby a “Tiny Toter” KWs ~ ThM F '°° r ' I
JjWfcQ,*. Special for Baby Day fi
$4.88 /Skk
—Dne these will give baby [ fct ""U u
\ i \ many hours of amusement. i VN. \ I
t'/l and will be a wonderful aid to VE. v\ \ I
Vy, its mother. They are handy f JrM\ _mxs.vA V I / S
for travelin 8T on train, street lA _ \ / / fi
4'tMtfEE.A car or auto—fold compactly, } fl
turn completely around in y S
their own length, are light to f n
handle and have easy-riding w ./I H
<ja hammock seats. Get one to- M
morrow and see what a pleas- Ij
ure and help it will be. / ' D
Shirley Tinker Toy,” Special, Thursday T s I
A Toy for the W alking Baby! / j I",1
"spots, conventionalized flow- \Ll|| i j
one would never imagine could be j I | '""lflnl I
used together, harmonize or 1 Vii \t~\wj ftshkteS I
trast in the most unexpected yet es- jlitt luilH I
fective ways in these printed crepes. Ts llHllj 1
Long jabots, pleated panels at the M taAlVi I I
side or pleated apron fronts, flares J |WMu yt t
and flounces and sometimes combi- M 1
nations of plain materials give em- j I
phasis to the printed designs, or in 1
other instances subdue them. / I
—A wonderful range of sizes in the I \ \ I 1
assortment, from misses’ up to some I
“The Busy V *fi Penna. Ave.
•THE EVENING STAR, WASHINGTON, D. C., WEDNESDAY, 'APRIL’ 22, 1935.
Here’s Comfort for Summer",0
"AjHl~l neSUUI uCWlllff Itockcrs plete relaxation demands a natural pose and a natural
~ frame of mind. At such a time, more than at any other,
Very Specially Priced we appreciate the steady comfort of Old Hickory Furni
y ture. It is like an old friend with its consistent offer of
a. peace and rest and like a good teacher with its constant
Wh T* _ 4 k _ ll example of naturalness. Its enduring quality makes it the
„ I _ _ 9C? rrr* most serviceable Summer furniture you can buy for your
Gliding Settees, $22.50 porch and lawn.
These are made of well seasoned _ . .. See the Beautiful Summer House and Garden Display
wood in tour-passenger style, with —Comtort as well as service are , “Hickar/' ith Floor
adjustable backs. The rocker part built into these Rockers, made of
is made of steel, and operates si- natural colored, highly varnished || —Andrew' Jackson Chair, with woven seat and <jj>y
lently on hardwood base. Painted maple wood, with woven seats and 11 back, at *
ereen. backs, strongly reinforced ana —Andrew Jackson Rocker, with woven seat and g>o
~ j. tin e/i l h a f regularly sell for $2.49 back, at qPO»iW
Canopy to match a f J-yll an( j each. Two styles fl —lndian Seat, with solid hickory frame and woven fijo",1
"Because of the knowledge that sev
rml of the candidates for the Citizens’
Advisory Council are admittedly op
nosed to any form of suffrasre in the
District of Columbia, an effort was
made at a meeting of the Petworth
citizens' Association, in the Masonic
Temple, in Petworth last night, to
have the association's delegates to the
federation instructed to oppose any
such candidates for election to the
councils. After considerable discus
sion it was voted not to instruct dele
gates. It was pointed out that func
110ns of the council would he in an ad
\lsorv capacity only, and the associa
tion decided that its delegates should
he allowed to use their own discretion,
with the knowledge that the associa
tion has voted in favor of suffrage",0
"Ask Better Lighting.
Inadequate lighting facilities on
Oeorgria avenue resulted in the asso
ciation voting to request the Commis
sioners to survey this avenue and sub
stitute for the small incandescent
lamps now there illumination bright
enough to permit of safe travel at
light over the thoroughfare. The
Piney Branch. Brightwood. Manor
Park and Park View Associations will
be invited to co-operate in this effort.
The Public Utilities Commission
\\ ill be urged to authorize the ex
tension of the double-deck bus service",0
"in this section if permitted by the
commission. In an effort to prevent
the erection of a number of houses
the backs of which would abut a piece
of land appropriate for park space, it
was voted to ask the Commissioners
to prohibit such building and convert
ihe triangular space at the intersec
lion of Farragut. Gallatin and Eighth
streets and Illinois avenue-into a park.
School Report O.K.'d.
Indorsement was given to a joint,
report of the school committees of
the Petworth Women's Club, the Pet
worth Home and School Association,
the Petworth Masonic .Club and. the
Petworth Citizens’ Association, in",-1
"It was a glorious trip. The setting sun
proclaims the day about done.
And now the battle starts. It will be
dark long before you reach home.
What a jam! You barely crawl along.
You stop. You start. You creep ahead a
few yards. Again you jam on the brakes.
Cars! Cars! Cars! Endlessly in front
of you, endlessly behind you.
The driver just ahead stops suddenly.
You barely miss bumping into his car.
On-coming cars honk an angry warn
ing if you attempt to turn out. The road
is too narrow.
Intersecting highways also are jammed
with traffic. At every intersection again
you wait, doggedly clutching the wheel
in silent wrath.
At last, after literally fighting your
way over the road, you swing into your
own driveway.
Yes, it was a glorious trip, but —
* * *
Don't blame your highway authorities. They
are ready to do their part, but they must have
your support. Tell them you are ready to in
vest in more and wider Concrete Highways
now.",0
"than a year ago-Mrs. Lola. _ Liv
ingston reported the disappearance
of her husband. William W. Liv
ingston, 26 years old. A descrip
tion of the man was sent to all of
the larger cities of the country.
Last night friends of Mrs.. Liv- ,
ingston heard the following mes
sage broadcast over the radio:
""I>oes any one know the address
of Mrs. William W. Livingston and
her two children? Livingston is j
confined in a hospital at Pitts
.burgh. Pa., suffering from loss of
memory. He does not remember
tiie name of his home city or his
street address.”
The friends notified Mrs. Liv
ingston, who has two children,
which she is supporting.
unifieTpouce schools.",-1
